This is sample data with 3 free parameters.
FIT par3
LOWER_LIMITS  14.1 0.6 2.20
UPPER_LIMITS  14.3 1.4 2.35
PLOT 2d
DATA_TYPE chisq
x y z value
14.23 0.2 2.24  4984.743076
14.23 0.2 2.25  4711.161748
14.23 0.2 2.26  4820.781320
14.23 0.2 2.27  4690.130489
14.23 0.2 2.28  4356.643281
14.23 0.2 2.29  4268.250882
14.23 0.2 2.3  4123.405862
14.23 0.2 2.35  4157.300762
14.23 0.2 2.4  3807.111564
14.23 0.4 2.15  4156.635736
14.23 0.4 2.2  3631.293574
14.23 0.4 2.23  3206.126554
14.23 0.4 2.24  3460.674514
14.23 0.4 2.25  3068.674098
14.23 0.4 2.26  3073.829263
14.23 0.4 2.27  3380.465436
14.23 0.4 2.28  2972.667112
14.23 0.4 2.29  3040.855721
14.23 0.4 2.3  2626.310985
14.23 0.4 2.35  2673.613043
14.23 0.4 2.4  2363.570907
14.23 0.6 2.05  3976.286560
14.23 0.6 2.1  3126.822223
14.23 0.6 2.15  2343.817282
14.23 0.6 2.2  1907.347117
14.23 0.6 2.22  1906.103733
14.23 0.6 2.23  1728.090164
14.23 0.6 2.24  1814.381471
14.23 0.6 2.25  1665.981236
14.23 0.6 2.26  1665.126922
14.23 0.6 2.27  1878.050762
14.23 0.6 2.28  1627.729622
14.23 0.6 2.29  1616.958763
14.23 0.6 2.3  1337.162823
14.23 0.6 2.35  1415.799009
14.23 0.6 2.4  1389.074203
14.23 0.6 2.5  1848.362196
14.23 0.7 2.05  2601.116982
14.23 0.7 2.1  2146.290358
14.23 0.7 2.15  1500.064090
14.23 0.7 2.2  1303.484124
14.23 0.7 2.22  1407.088826
14.23 0.7 2.23  1275.092539
14.23 0.7 2.24  1081.641436
14.23 0.7 2.25  1157.899862
14.23 0.7 2.26  1242.390171
14.23 0.7 2.27  1084.927541
14.23 0.7 2.28  1015.831193
14.23 0.7 2.29  1162.174162
14.23 0.7 2.3  1262.083880
14.23 0.7 2.35  1027.900607
14.23 0.7 2.4  1071.334139
14.23 0.7 2.5  1531.928722
14.23 0.8 2.05  1964.438215
14.23 0.8 2.1  1575.096506
14.23 0.8 2.15  1239.299111
14.23 0.8 2.2  883.221134
14.23 0.8 2.22  858.906875
14.23 0.8 2.23  813.830013
14.23 0.8 2.24  795.947518
14.23 0.8 2.25  644.409793
14.23 0.8 2.26  804.529196
14.23 0.8 2.27  848.711610
14.23 0.8 2.28  770.176790
14.23 0.8 2.29  662.130121
14.23 0.8 2.3  742.592329
14.23 0.8 2.35  618.742252
14.23 0.8 2.4  971.469796
14.23 0.8 2.5  1422.817580
14.23 0.9 2.05  1342.046259
14.23 0.9 2.1  1046.844834
14.23 0.9 2.15  909.266861
14.23 0.9 2.22  478.265371
14.23 0.9 2.23  521.005491
14.23 0.9 2.35  540.208006
14.23 0.9 2.4  774.323849
14.23 0.9 2.5  1517.472605
14.23 1.0 2.05  1150.928403
14.23 1.0 2.1  717.185547
14.23 1.0 2.15  467.345871
14.23 1.0 2.2  327.623570
14.23 1.0 2.22  384.463475
14.23 1.0 2.23  351.334980
14.23 1.0 2.24  433.133190
14.23 1.0 2.25  355.923118
14.23 1.0 2.26  476.602787
14.23 1.0 2.27  439.396522
14.23 1.0 2.28  460.876995
14.23 1.0 2.29  487.723738
14.23 1.0 2.3  481.674724
14.23 1.0 2.35  549.394837
14.23 1.0 2.4  869.697695
14.23 1.0 2.5  1691.186880
14.23 1.3 2.15  647.528040
14.23 1.3 2.2  1042.681524
14.23 1.3 2.23  984.257854
14.23 1.3 2.24  1061.980431
14.23 1.3 2.25  1035.135085
14.23 1.3 2.26  1230.947152
14.23 1.3 2.27  907.327647
14.23 1.3 2.28  1255.884370
14.23 1.3 2.29  1134.543071
14.23 1.3 2.3  1486.731819
14.23 1.3 2.35  1696.128831
14.23 1.3 2.4  2539.105337
14.24 0.2 2.15  5923.553078
14.24 0.2 2.2  5476.134528
14.24 0.2 2.23  4534.450688
14.24 0.2 2.24  4338.192153
14.24 0.2 2.25  4802.197965
14.24 0.2 2.26  4724.573276
14.24 0.2 2.27  4412.631365
14.24 0.2 2.28  4317.464690
14.24 0.2 2.29  4284.826798
14.24 0.2 2.3  4086.959519
14.24 0.2 2.35  3926.542741
14.24 0.2 2.4  3789.726788
